# Stunde	Datum	Kommentar
1	03-11-1827	
2	07-11-1827	
3	10-11-1827	
4	14-11-1827	
5	17-11-1827	
6	21-11-1827	
7	24-11-1827	
8	28-11-1827	
9	01-12-1827	
10	05-12-1827	
11	08-12-1827	
12	12-12-1827	
13	15-12-1827	
14	19-12-1827	
15	22-12-1827	
16	29-12-1827	
17	02-01-1828	
18	05-01-1828	
19	09-01-1828	
20	12-01-1828	
21	16-01-1828	
22	19-01-1828	
23	23-01-1828	
24	26-01-1828	
25	30-01-1828	[lt. Parthey 29-01-1828, nach AvHs Übersicht und in AvHs Rhythmus müsste aber 30-01-1828 stimmen.]
26	02-02-1828	
27	06-02-1828	
28	09-02-1828	
29	13-02-1828	
30	16-02-1828	
31	20-02-1828	
32	23-02-1828	
33	27-02-1828	
34	01-03-1828	
35	05-03-1828	[lt. Parthey hiernach 36. Stunde, 08-03-1828, dieses Datum bei AvH nicht verzeichnet, passt aber in den Rhythmus; demnach waren es doch 62 Stunden!]
36	08-03-1828	
37	12-03-1828	
38	15-03-1828	
39	19-03-1828	
40	22-03-1828	
41	24-03-1828	
42	25-03-1828	
43	26-03-1828	
44	28-03-1828	
45	29-03-1828	
46	31-03-1828	
47	01-04-1828	
48	02-04-1828	
49	09-04-1828	
50	10-04-1828	
51	11-04-1828	
52	14-04-1828	
53	15-04-1828	
54	16-04-1828	
55	17-04-1828	
56	19-04-1828	
57	21-04-1828	
58	22-04-1828	
59	23-04-1828	
60	24-04-1828	[lt. Parthey 20-04-1828 -- Fehler?]
61	25-04-1828	
62	26-04-1828	
