VL-Stunde Kosmos-Vorträge an der Berliner Universität, vgl. z. B. deutschestextarchiv.de/parthey_msgermqu1711_1828	Thema	Signatur: SBB-PK, Nachl. A. v. Humboldt ,... [...	Materialart	Datum	Pers.name [GND]	Bemerkungen
2	Geologie, Vulkanismus: Methana	gr. Kasten 8, Nr. 134 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN792354370&PHYSID=PHYS_0001]	Brief	o.O., 26.06.1822 [verm.]	Letronne, Antoine Jean <a href="http://d-nb.info/gnd/100185657">[GND]</a>	Vgl. Kosmos I, S. 251 [http://www.deutschestextarchiv.de/humboldt_kosmos01_1845/270] u. 453 [http://www.deutschestextarchiv.de/humboldt_kosmos01_1845/472] , sowie Kosmos IV, S. 273 [http://www.deutschestextarchiv.de/humboldt_kosmos04_1858/278] .
3	Meteorologie: Variation des Barometers, Maximum/Minimum	gr. Kasten 5, Nr. 31a (v.a. Bl. 19) [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363695&PHYSID=PHYS_0044]	MSS, Notiz	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	Vgl.: Humboldt, Alexander von: Beobachtungen über die stündlichen Variationen des Barometers [...]. Notizen aus dem Gebiete der Natur- und Heilkunde, Bd. 12, Nr. 247 von 1825 (1826), S. 65-71 [http://www.deutschestextarchiv.de/humboldt_beobachtungen_1826/3] .
4	Geographie des Organischen: Leben ohne Licht, Beispiel Eingeweidewürmer	gr. Kasten 6, Nr. 13 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826365906]	Brief	B[erlin], 07.11.1827	Rudolphi, Karl Asmund <a href="http://d-nb.info/gnd/115526641">[GND]</a>	
6	Geschichte der Weltanschauung: Allgemeine Manuskripte, Notizen und Excerpte	gr. Kasten 8, Nr. 159b, Bl. 1-26b [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN792354826]	MSS, Notiz	o.O., o.D.	Ideler, Ludwig <a href="http://d-nb.info/gnd/100351212">[GND]</a>	
8	Geschichte der Weltanschauung: Idee der Höhenmessung mit dem Barometer: Pascal	gr. Kasten 5, Nr. 13.14, Blatt 1-18  [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363288]	Notiz	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
12	Astronomie: Instrumente, teleskopisches Sehen: Messinstrumente an Teleskopen (Morin)	kl. Kasten 3a, Nr. 3 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN798032197&PHYSID=PHYS_0007]	Notizzettel, Vorlesungs-MSS	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	Vermutlich nach den Vorlesungen geschrieben, vgl. Kosmos III, S. 154 [http://www.deutschestextarchiv.de/humboldt_kosmos03_1850/159] .
12	Astronomie: Instrumente, teleskopisches Sehen: Sehen der Jupitertrabanten u.a. Himmelskörper mit bloßen Augen (Benzenberg)	kl. Kasten 3b, Nr. 75 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN815574924&PHYSID=PHYS_0012]	Notizzettel	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
18	Astronomie: Dichte der Trabanten/Planeten	kl. Kasten 3b, Nr. 74 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN815574916&PHYSID=PHYS_0018]	Vorlesungs-MSS (Fragment), Notiz	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
21	Astronomie: Fall der Körper als Beweis für Rotation der Erde	gr. Kasten 9 Nr. 32 [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN825685664&PHYSID=PHYS_0084]	Notizzettel, Vorlesungs-MSS	o.O., o.D.	Humboldt, Alexander von <a href="http://d-nb.info/gnd/118554700">[GND]</a>	
21	Geologie: Höhe der Schneekoppe 4950 Fuß	gr. Kasten 5, Nr. 35a.b, Blatt 25-26  [http://digital.staatsbibliothek-berlin.de/werkansicht/?PPN=PPN826363849&PHYSID=PHYS_0002]	Druck (Zeitungsausschnitt)	Berlin, 1827	N.N.	
